obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_std,total/episodes,total/epochs,total/steps,train/loss_actor,train/loss_critic
0.0,1.0,0.18840904705084133,-10.0510892868042,0.03805628418922424,-1.0,0.0,-10.042330741882324,0.03864632174372673,0.8748974204063416,0.48146572709083557,1901.2198581560283,141.0,-233.0497589111328,83.45018005371094,141.0,135,270000,11.560556411743164,1.6921747922897339
0.0,1.0,0.18840904705084133,-10.55311107635498,0.07066132128238678,-1.0,0.0,-10.482980728149414,0.07232776284217834,-0.9999963045120239,7.463607971658348e-07,1901.9154929577464,142.0,-234.2666473388672,84.40188598632812,142.0,136,272000,11.589319229125977,75.35791778564453
0.0,1.0,0.18105739093859663,-10.175933837890625,0.05635596439242363,-1.0,0.0,-10.181938171386719,0.05495036393404007,-0.9177418947219849,0.02543679252266884,1902.6013986013986,143.0,-234.02703857421875,84.15470886230469,143.0,137,274000,11.576496124267578,14.638005256652832
0.0,1.0,0.18105739093859663,-10.203292846679688,0.03924736753106117,-1.0,0.0,-10.19992733001709,0.03838928043842316,-0.9999982714653015,4.243561875227897e-07,1903.2777777777778,144.0,-233.79071044921875,83.90958404541016,144.0,138,276000,11.353724479675293,26.37679672241211
0.0,1.0,0.18105739093859663,-10.25387954711914,0.029518388211727142,-1.0,0.0,-10.26643180847168,0.029818838462233543,-0.9999995231628418,9.541398782175747e-08,1903.9448275862069,145.0,-233.55770874023438,83.66647338867188,145.0,139,278000,11.699345588684082,0.33040139079093933
0.0,1.0,0.19219606889656324,-10.530524253845215,0.04881599545478821,-1.0,0.0,-10.534085273742676,0.04697470739483833,-0.9999945163726807,1.3857078329237993e-06,1904.6027397260275,146.0,-233.327880859375,83.42537689208984,146.0,140,280000,11.774038314819336,55.72675323486328
0.0,1.0,0.18469664449646242,-10.151491165161133,0.05861547589302063,-1.0,0.0,-10.153674125671387,0.05678217113018036,-0.9998168349266052,5.629273800877854e-05,1905.251700680272,147.0,-233.1011962890625,83.18624114990234,147.0,141,282000,11.452862739562988,2.5782909393310547
0.0,1.0,0.19605920988138417,-10.193193435668945,0.029885904863476753,-1.0,0.0,-10.196037292480469,0.029463928192853928,0.19591712951660156,0.3283807337284088,1905.8918918918919,148.0,-232.8775634765625,82.94905853271484,148.0,142,284000,11.21827507019043,1.4954438209533691
0.0,1.0,0.19605920988138417,-10.036283493041992,0.053875118494033813,-1.0,0.0,-10.02734375,0.047435253858566284,-0.9984515309333801,0.0013684275327250361,1906.523489932886,149.0,-232.6569366455078,82.71379852294922,149.0,143,286000,11.518299102783203,2.2950217723846436
0.0,1.0,0.18469664449646242,-10.315606117248535,0.04298793151974678,-1.0,0.0,-10.316478729248047,0.038979530334472656,-0.9369024634361267,0.02005443349480629,1907.1466666666668,150.0,-232.43923950195312,82.48043823242188,150.0,144,288000,11.396044731140137,16.766334533691406
